Date,ALL,Hokkaido,Aomori,Iwate,Miyagi,Akita,Yamagata,Fukushima,Ibaraki,Tochigi,Gunma,Saitama,Chiba,Tokyo,Kanagawa,Niigata,Toyama,Ishikawa,Fukui,Yamanashi,Nagano,Gifu,Shizuoka,Aichi,Mie,Shiga,Kyoto,Osaka,Hyogo,Nara,Wakayama,Tottori,Shimane,Okayama,Hiroshima,Yamaguchi,Tokushima,Kagawa,Ehime,Kochi,Fukuoka,Saga,Nagasaki,Kumamoto,Oita,Miyazaki,Kagoshima,Okinawa
2020/2/1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/2/2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/2/3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/2/4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/2/5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/2/6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/2/7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/2/8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/2/9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/2/10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/2/11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/2/12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/2/13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/2/14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/2/15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/2/16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/2/17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/2/18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/2/19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/2/20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/2/21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/2/22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/2/23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/2/24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/2/25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/2/26,3,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/2/27,4,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/2/28,5,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/2/29,5,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/3/1,6,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/3/2,6,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/3/3,6,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/3/4,6,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/3/5,6,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/3/6,6,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/3/7,6,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/3/8,7,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/3/9,9,3,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/3/10,12,3,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/3/11,15,3,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/3/12,19,4,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,8,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/3/13,21,4,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,10,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/3/14,22,4,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,11,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/3/15,24,5,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,12,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/3/16,28,6,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,14,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/3/17,29,6,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,14,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/3/18,31,6,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,15,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/3/19,33,6,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,15,0,0,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/3/20,35,6,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,16,0,0,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/3/21,36,6,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,16,0,0,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/3/22,41,6,0,0,0,0,0,0,0,0,1,1,0,4,4,0,0,0,0,0,0,0,0,16,0,0,0,2,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/3/23,42,6,0,0,0,0,0,0,0,0,1,1,0,4,4,0,0,0,0,0,0,0,0,17,0,0,0,2,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/3/24,43,6,0,0,0,0,0,0,0,0,1,1,0,5,4,0,0,0,0,0,0,0,0,17,0,0,0,2,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/3/25,45,7,0,0,0,0,0,0,0,0,1,1,0,5,4,0,0,0,0,0,0,0,0,18,0,0,0,2,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/3/26,47,7,0,0,0,0,0,0,0,0,1,1,0,5,4,0,0,0,0,0,0,0,0,19,0,0,0,2,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/3/27,52,7,0,0,0,0,0,0,0,0,1,2,0,6,5,0,0,0,0,0,0,0,0,19,0,0,0,2,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/3/28,55,7,0,0,0,0,0,0,0,0,1,2,1,7,5,0,0,0,0,0,0,0,0,19,0,0,0,2,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/3/29,56,7,0,0,0,0,0,0,0,0,1,2,1,8,5,0,0,0,0,0,0,0,0,19,0,0,0,2,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/3/30,59,7,0,0,0,0,0,0,0,0,1,2,1,9,6,0,0,0,0,0,0,0,0,19,0,0,0,2,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/3/31,66,7,0,0,0,0,0,0,0,0,1,2,1,16,6,0,0,0,0,0,0,0,0,19,0,0,0,2,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/4/1,69,7,0,0,0,0,0,0,2,0,1,3,1,16,6,0,0,0,0,0,0,0,0,19,0,0,0,2,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/4/2,73,8,0,0,0,0,0,0,2,0,1,3,1,16,7,0,0,0,1,0,0,0,0,19,0,0,0,3,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/4/3,77,8,0,0,0,0,0,0,2,0,1,3,1,18,7,0,0,0,1,0,0,0,0,19,0,0,0,3,11,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
2020/4/4,84,8,0,0,0,0,0,0,2,0,1,3,1,23,7,0,0,0,1,0,0,1,0,19,0,0,0,4,11,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
2020/4/5,93,8,0,0,0,0,0,0,2,0,1,3,1,30,7,0,0,0,2,0,0,1,0,20,0,0,0,4,11,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
2020/4/6,97,9,0,0,0,0,0,0,2,0,1,4,1,30,7,0,0,0,2,0,0,1,0,21,0,0,0,4,12,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
2020/4/7,98,9,0,0,0,0,0,0,2,0,1,4,1,31,7,0,0,0,2,0,0,1,0,21,0,0,0,4,12,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
2020/4/8,105,9,0,0,0,0,0,0,2,0,1,5,1,35,7,0,0,0,2,0,0,1,0,21,0,0,0,6,12,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
2020/4/9,109,10,0,0,0,0,0,0,2,0,1,5,1,36,7,0,0,0,2,0,0,1,0,21,0,0,1,6,13,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
2020/4/10,122,10,0,0,0,0,0,0,3,0,2,6,2,40,10,0,0,0,2,0,0,1,0,22,0,0,1,6,13,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
2020/4/11,132,10,0,0,0,0,0,0,5,0,2,6,4,40,11,0,0,0,2,0,0,1,0,23,0,0,3,6,14,0,1,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0
2020/4/12,138,11,0,0,0,0,0,0,5,0,2,6,5,42,12,0,0,0,2,0,0,1,0,24,0,0,3,6,14,0,1,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0
2020/4/13,143,11,0,0,0,0,0,0,5,0,2,7,5,42,14,0,0,0,2,0,0,1,0,24,0,0,3,6,15,0,1,0,0,0,0,0,0,0,2,0,2,0,0,1,0,0,0,0
2020/4/14,162,13,0,0,0,0,0,0,5,0,4,9,6,47,14,0,0,3,3,0,0,1,0,24,0,0,3,7,15,0,1,0,0,0,0,0,0,0,2,0,4,0,0,1,0,0,0,0
2020/4/15,179,14,0,0,0,0,0,0,5,0,4,10,7,53,14,0,0,4,4,0,0,1,0,24,0,1,3,8,15,1,1,0,0,0,0,0,0,0,2,1,6,0,0,1,0,0,0,0
2020/4/16,191,14,0,0,0,0,0,0,5,0,4,12,7,56,15,0,0,4,4,0,0,1,0,24,1,1,3,8,16,1,1,0,0,0,0,0,0,0,2,1,8,0,0,1,1,0,0,1
2020/4/17,207,16,0,0,0,0,0,0,5,0,4,13,8,63,16,0,0,4,4,0,0,2,0,24,1,1,3,9,17,1,1,0,0,0,0,0,0,0,2,1,9,0,0,1,1,0,0,1
2020/4/18,224,18,0,0,0,0,0,0,5,0,5,13,10,68,17,0,1,4,5,0,0,2,0,25,1,1,3,10,17,1,1,0,0,0,0,0,0,0,3,1,10,0,0,1,1,0,0,1
2020/4/19,238,18,0,0,0,0,0,0,5,0,6,13,11,71,17,0,1,4,5,0,0,3,0,25,1,1,3,12,19,1,1,0,0,0,1,0,0,0,3,1,11,0,0,1,1,0,0,3
2020/4/20,263,21,0,0,0,0,0,0,5,0,8,13,11,77,19,0,2,4,5,0,0,4,0,27,1,1,5,13,22,1,1,0,0,0,1,0,0,0,3,2,12,0,0,1,1,0,0,3
2020/4/21,283,23,0,0,0,0,0,0,6,0,9,15,13,81,20,0,2,5,5,0,0,5,0,29,1,1,6,15,22,1,1,0,0,0,1,0,0,0,3,2,12,0,0,1,1,0,0,3
2020/4/22,299,25,0,0,0,0,0,0,6,0,9,16,16,81,23,0,2,5,5,0,0,6,0,29,1,1,8,18,22,1,1,0,0,0,1,0,0,0,3,2,13,0,0,1,1,0,0,3
2020/4/23,328,25,0,0,0,0,0,0,6,0,11,23,18,87,24,0,3,5,6,0,0,6,0,29,1,1,8,22,22,1,1,0,0,0,1,0,0,0,3,3,15,0,1,1,1,0,0,4
2020/4/24,345,25,0,0,0,0,0,0,6,0,12,23,21,93,24,0,3,5,6,0,0,6,0,30,1,1,8,26,23,1,1,0,0,0,2,0,0,0,3,3,15,0,1,1,1,0,0,4
2020/4/25,360,25,0,0,0,0,0,0,6,0,12,24,22,100,25,0,4,5,6,0,0,6,0,31,1,1,8,28,24,1,1,0,0,0,2,0,0,0,3,3,15,0,1,1,1,0,0,4
2020/4/26,372,25,0,0,0,0,0,0,6,0,14,25,26,100,26,0,5,5,6,0,0,6,0,31,1,1,8,30,24,1,1,0,0,0,2,0,0,0,3,3,16,0,1,1,1,0,0,4
2020/4/27,394,26,0,0,0,0,0,0,6,0,15,27,29,106,27,0,7,6,7,0,0,6,0,31,1,1,9,32,24,1,1,0,0,0,2,0,0,0,3,3,17,0,1,1,1,0,0,4
2020/4/28,413,27,0,0,0,0,0,0,6,0,15,30,31,108,29,0,7,6,7,0,0,6,0,31,1,1,9,36,27,1,2,0,0,0,2,0,1,0,3,3,17,0,1,1,1,0,0,4
2020/4/29,435,27,0,0,0,0,0,0,6,0,15,30,31,117,32,0,8,8,7,0,0,6,0,32,1,1,10,39,27,1,2,0,0,0,2,0,1,0,3,3,19,0,1,1,1,0,0,4
2020/4/30,457,29,0,0,0,0,0,0,7,0,16,34,32,120,34,0,9,8,8,0,0,6,1,33,1,1,10,41,27,1,2,0,0,0,2,0,1,0,3,3,20,0,1,1,1,0,0,5
2020/5/1,486,37,0,0,0,0,0,0,8,0,16,36,34,126,37,0,9,11,8,0,0,6,1,33,1,1,11,43,27,1,2,0,0,0,2,0,1,0,3,3,21,0,1,1,1,0,0,5
2020/5/2,517,40,0,0,0,0,0,0,8,0,16,37,34,141,39,0,10,13,8,0,0,6,1,34,1,1,12,46,28,1,2,0,0,0,2,0,1,0,3,3,22,0,1,1,1,0,0,5
2020/5/3,536,41,0,0,0,0,0,0,8,0,16,38,34,145,42,0,11,15,8,0,0,6,1,34,1,1,12,50,28,1,2,0,0,0,2,0,1,0,3,3,24,0,1,2,1,0,0,5
2020/5/4,556,43,0,0,0,0,0,0,9,0,16,39,34,150,45,0,13,16,8,0,0,6,1,34,1,1,12,53,29,2,2,0,0,0,2,0,1,0,3,3,24,0,1,2,1,0,0,5
2020/5/5,566,45,0,0,0,0,0,0,9,0,16,39,36,150,46,0,13,16,8,0,0,6,1,34,1,1,13,56,30,2,2,0,0,0,2,0,1,0,3,3,24,0,1,2,1,0,0,5
2020/5/6,577,46,0,0,0,0,0,0,9,0,18,40,37,155,47,0,13,16,8,0,0,6,1,34,1,1,13,56,30,2,2,0,0,0,2,0,1,0,3,3,24,0,1,2,1,0,0,5
2020/5/7,590,47,0,0,0,0,0,0,9,0,18,41,38,160,47,0,13,16,8,0,0,6,1,34,1,1,13,59,32,2,2,0,0,0,2,0,1,0,3,3,24,0,1,2,1,0,0,5
2020/5/8,606,48,0,0,0,0,0,0,9,0,18,41,38,171,47,0,13,16,8,0,0,6,1,34,1,1,13,59,32,2,2,0,0,0,2,0,1,0,3,3,24,0,1,2,1,0,0,5
2020/5/9,613,48,0,0,1,0,0,0,9,0,18,41,39,180,47,0,13,16,8,0,0,6,1,34,1,1,13,59,32,2,2,0,0,0,2,0,1,0,3,3,24,0,1,3,1,0,0,5
